# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-05-08T00:00:00.0/2005-05-09T00:00:00.0,10708.9033,8073.4771,6704.1587,1369.3181,10276.4248,5336.1572,3058.7676,2277.3896,4788.1953,0.976
2005-05-09T00:00:00.0/2005-05-10T00:00:00.0,10750.0361,8083.4336,6686.8071,1396.6268,10135.416,7553.1655,5376.0259,2177.1396,8105.4941,0.9806
2005-05-10T00:00:00.0/2005-05-11T00:00:00.0,10790.2744,7501.4341,5199.6909,2301.7429,7655.9326,3839.6099,858.1961,2981.4136,1756.9174,0.9747
2005-05-11T00:00:00.0/2005-05-12T00:00:00.0,10829.6133,7775.9321,5956.21,1819.7222,8774.9902,6419.542,3598.427,2821.115,4838.7378,0.9792
2005-05-12T00:00:00.0/2005-05-13T00:00:00.0,10868.082,7706.4453,5680.6416,2025.8037,8345.5596,7438.9258,5038.9136,2400.012,7298.7314,0.9781
2005-05-13T00:00:00.0/2005-05-14T00:00:00.0,10905.6025,7101.5791,4120.4219,2981.157,5815.415,4843.1567,1847.3154,2995.8411,2754.6719,0.9774
2005-05-14T00:00:00.0/2005-05-15T00:00:00.0,10942.2021,6628.999,3050.6729,3578.3264,4396.5498,3741.5986,881.1965,2860.4021,1559.4369,0.9823
2005-05-15T00:00:00.0/2005-05-16T00:00:00.0,10977.875,8152.4106,6499.2437,1653.1672,9691.2236,7827.918,6125.5044,1702.4139,8722.6455,0.9708
2005-05-16T00:00:00.0/2005-05-17T00:00:00.0,11012.6143,8247.1729,6697.4604,1549.7124,9989.541,7988.0088,6084.0566,1903.9519,8910.9658,0.9806
2005-05-17T00:00:00.0/2005-05-18T00:00:00.0,11046.415,6902.752,3590.825,3311.927,4853.8999,2302.3843,258.5112,2043.8732,333.2433,0.9799
2005-05-18T00:00:00.0/2005-05-19T00:00:00.0,11079.2422,8166.6104,6417.832,1748.7784,9394.2949,4725.0674,1522.5469,3202.5203,2590.6118,0.9743
2005-05-19T00:00:00.0/2005-05-20T00:00:00.0,11111.1572,8221.7812,6707.291,1514.4901,10085.0918,7197.7329,4968.3418,2229.3914,7792.8062,0.9788
2005-05-20T00:00:00.0/2005-05-21T00:00:00.0,11142.1182,8337.0771,6840.5635,1496.5131,10181.8262,8324.9473,6824.4502,1500.4969,10047.5088,0.9781
2005-05-21T00:00:00.0/2005-05-22T00:00:00.0,11172.1211,8460.2568,7112.7676,1347.4895,10656.7695,8409.2217,6997.0786,1412.1433,10496.3887,0.9722
2005-05-22T00:00:00.0/2005-05-23T00:00:00.0,11201.1602,8394.75,6955.0317,1439.7183,10321.4854,6873.5083,3611.0212,3262.4871,5087.1006,0.9663
2005-05-23T00:00:00.0/2005-05-24T00:00:00.0,11229.2305,8123.1948,6188.5044,1934.6904,8993.3389,6441.8784,4359.4893,2082.3892,5941.0581,0.976
2005-05-24T00:00:00.0/2005-05-25T00:00:00.0,11256.2793,8111.0454,6171.6953,1939.3499,8999.2627,8030.3086,6052.377,1977.9319,8706.3525,0.976
2005-05-25T00:00:00.0/2005-05-26T00:00:00.0,11282.4209,8418.7275,6977.3955,1441.3324,10360.2852,8103.3799,6367.0093,1736.3704,9480.6777,0.9701
2005-05-26T00:00:00.0/2005-05-27T00:00:00.0,11307.5791,8440.0928,7010.4336,1429.6592,10426.3516,8440.0928,7010.4336,1429.6592,10426.3516,0.9799
2005-05-27T00:00:00.0/2005-05-28T00:00:00.0,11331.7275,8210.6211,6373.9302,1836.6906,9252.7129,8127.5435,6235.6221,1891.9216,8969.9932,0.9799
2005-05-28T00:00:00.0/2005-05-29T00:00:00.0,11354.9248,8151.4102,6230.2715,1921.1385,9022.7139,7486.3325,5592.4585,1893.8739,7491.4536,0.9788
2005-05-29T00:00:00.0/2005-05-30T00:00:00.0,11377.0918,8172.2256,6243.0112,1929.2145,9021.0068,6627.6216,4765.3081,1862.3132,6598.7271,0.9264
2005-05-30T00:00:00.0/2005-05-31T00:00:00.0,11398.2812,8206.6826,6343.5132,1863.1699,9179.4492,7583.1963,5716.9292,1866.2673,7673.3105,0.9781
2005-05-31T00:00:00.0/2005-06-01T00:00:00.0,11418.502,8144.6602,6048.2466,2096.4136,8669.9951,5290.2856,1906.278,3384.0076,2806.8413,0.9774
2005-06-01T00:00:00.0/2005-06-02T00:00:00.0,11437.7031,7848.2832,5225.1445,2623.1384,7286.1152,7129.9194,3684.8203,3445.0991,4963.5615,0.9719
2005-06-02T00:00:00.0/2005-06-03T00:00:00.0,11455.8857,7807.7998,5162.8633,2644.9363,7223.2407,7629.1323,4978.0854,2651.0464,6727.5049,0.9767
2005-06-03T00:00:00.0/2005-06-04T00:00:00.0,11473.0791,7987.1978,5643.8286,2343.3691,7979.9185,7980.1636,5638.3716,2341.7917,7934.7354,0.9816
2005-06-04T00:00:00.0/2005-06-05T00:00:00.0,11489.2627,7622.0942,4585.7217,3036.3728,6397.6099,6806.6367,3242.0198,3564.6167,4738.0273,0.9812
2005-06-05T00:00:00.0/2005-06-06T00:00:00.0,11504.458,8014.2378,5713.105,2301.1323,8069.7363,6560.9341,2520.1499,4040.7842,3688.7236,0.9806
2005-06-06T00:00:00.0/2005-06-07T00:00:00.0,11518.582,8175.3853,6090.5229,2084.8621,8635.8896,7463.7358,4842.9448,2620.7908,6389.1089,0.9806
