# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-05-27T00:00:00.0/2005-05-28T00:00:00.0,11110.7402,7550.7324,5279.6396,2271.0928,8357.3564,7467.8926,5136.3013,2331.5916,8023.1104,0.9726
2005-05-28T00:00:00.0/2005-05-29T00:00:00.0,11145.8477,7621.6011,5393.0781,2228.5229,8731.9795,7489.8862,5135.0103,2354.8762,8303.877,0.9663
2005-05-29T00:00:00.0/2005-05-30T00:00:00.0,11179.5371,8024.6113,6189.3618,1835.2493,9788.0508,4722.4521,2451.2764,2271.176,4451.5273,0.9187
2005-05-30T00:00:00.0/2005-05-31T00:00:00.0,11211.79,7576.957,5010.0278,2566.9292,7768.5273,1690.1334,168.7994,1521.334,659.638,0.9705
2005-05-31T00:00:00.0/2005-06-01T00:00:00.0,11242.6455,8210.2314,6524.8223,1685.4091,10612.2598,6599.7607,4461.6919,2138.0688,7688.3921,0.9698
2005-06-01T00:00:00.0/2005-06-02T00:00:00.0,11272.0654,8292.1924,6866.8325,1425.3597,11145.0703,7053.1548,3847.6399,3205.5151,6018.0986,0.9691
2005-06-02T00:00:00.0/2005-06-03T00:00:00.0,11300.0361,7947.8169,6161.7363,1786.0807,9747.5186,2410.6802,159.2435,2251.4368,466.442,0.9736
2005-06-03T00:00:00.0/2005-06-04T00:00:00.0,11326.5518,7462.188,4897.772,2564.4158,7587.4551,4014.781,937.8381,3076.9429,1305.7448,0.9733
2005-06-04T00:00:00.0/2005-06-05T00:00:00.0,11351.5674,8201.3916,6400.0991,1801.2927,10103.0322,4010.8689,1337.9401,2672.929,2016.2417,0.9726
2005-06-05T00:00:00.0/2005-06-06T00:00:00.0,11375.1318,8246.9014,6585.583,1661.3187,10525.1709,2782.0339,237.2019,2544.832,305.9376,0.9719
2005-06-06T00:00:00.0/2005-06-07T00:00:00.0,11397.1973,8462.8574,6969.793,1493.0642,11130.5605,4291.2026,1005.6115,3285.5911,1405.4344,0.9712
2005-06-07T00:00:00.0/2005-06-08T00:00:00.0,11417.7451,8346.3789,6566.8813,1779.4977,10217.7461,3864.4802,474.0811,3390.3989,858.68,0.9708
2005-06-08T00:00:00.0/2005-06-09T00:00:00.0,11436.8018,7855.8408,5632.1577,2223.6831,8667.3535,7489.2461,4780.0249,2709.2212,7504.3657,0.9701
2005-06-09T00:00:00.0/2005-06-10T00:00:00.0,11454.3203,8057.3223,6001.6855,2055.6367,9422.668,7774.9229,5391.1865,2383.7363,8576.041,0.9698
