# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-03-28T00:00:00.0/2005-03-29T00:00:00.0,8126.4604,5424.7861,3559.2578,1865.5284,6158.1519,4718.7354,2616.6682,2102.0674,4284.6479,0.976
2005-03-29T00:00:00.0/2005-03-30T00:00:00.0,8199.041,5672.2222,4064.8735,1607.3488,7056.936,4016.7043,1081.8761,2934.8284,1916.4028,0.9802
2005-03-30T00:00:00.0/2005-03-31T00:00:00.0,8271.2578,5574.0127,3681.0813,1892.931,6290.3809,5157.0923,3082.0554,2075.0369,5012.0947,0.9792
2005-03-31T00:00:00.0/2005-04-01T00:00:00.0,8343.0908,5626.3208,3660.1609,1966.1597,6279.8853,5475.0308000000005,3450.7861,2024.2445,5806.5278,0.9729
2005-04-01T00:00:00.0/2005-04-02T00:00:00.0,8414.5566,6085.2686,4722.4058000000005,1362.8627,8212.3066,6085.2686,4722.4058000000005,1362.8627,8212.3066,0.9771
2005-04-02T00:00:00.0/2005-04-03T00:00:00.0,8485.5498,6324.5854,5122.5464,1202.0391,9028.417,5696.4072,4116.8945,1579.5125,7292.4482,0.9812
2005-04-03T00:00:00.0/2005-04-04T00:00:00.0,8556.1445,6488.9062,5427.7964,1061.1099,9582.0029,6488.9062,5427.7964,1061.1099,9582.0029,0.9802
2005-04-04T00:00:00.0/2005-04-05T00:00:00.0,8626.2881,6565.5747,5539.0498,1026.5248,9747.3623,6565.5747,5539.0498,1026.5248,9747.3623,0.9792
2005-04-05T00:00:00.0/2005-04-06T00:00:00.0,8695.9424,6519.2178,5405.6807,1113.537,9411.5205,6311.3774,4858.8394,1452.5383,8576.3438,0.9833
2005-04-06T00:00:00.0/2005-04-07T00:00:00.0,8765.1357,6534.0625,5309.915,1224.1472,9091.7832,6534.0625,5309.915,1224.1472,9091.7832,0.9819
2005-04-07T00:00:00.0/2005-04-08T00:00:00.0,8833.7646,6520.9697,5383.189,1137.7806,9109.0029,4857.6245,2561.8735,2295.7507,4360.0703,0.9656
2005-04-08T00:00:00.0/2005-04-09T00:00:00.0,8901.8955,6190.3604,4412.7261,1777.6342,7186.6641,2586.6033,684.9479,1901.6555,1531.9254,0.9802
2005-04-09T00:00:00.0/2005-04-10T00:00:00.0,8969.4707,6228.9004,4496.0869,1732.8134,7349.5483,1110.5345,11.5107,1099.0239,70.2231,0.9792
2005-04-10T00:00:00.0/2005-04-11T00:00:00.0,9036.4727,6174.833,4402.709,1772.1238,7028.3662,513.9482,4.16,509.7883,21.7795,0.9781
2005-04-11T00:00:00.0/2005-04-12T00:00:00.0,9102.9014,5727.5684,3011.2058,2716.3628,4763.0259,605.1759,13.8261,591.3499,62.9948,0.9774
2005-04-12T00:00:00.0/2005-04-13T00:00:00.0,9168.7354,6229.4385,4036.0425,2193.3958,6466.8452,2956.8174,986.5792,1970.238,1792.9292,0.9812
2005-04-13T00:00:00.0/2005-04-14T00:00:00.0,9233.9434,6333.252,4267.0112,2066.241,6819.5054,5739.9912,3313.115,2426.8762,5387.6958,0.9802
2005-04-14T00:00:00.0/2005-04-15T00:00:00.0,9298.4775,6477.688,4596.3906,1881.2974,7400.2261,6103.7036,4077.6782,2026.0251,6296.2197,0.9795
2005-04-15T00:00:00.0/2005-04-16T00:00:00.0,9362.4053,6838.1387,5512.1064,1326.0321,9081.0957,5975.4961,3826.8784,2148.6177,6932.0381,0.9785
2005-04-16T00:00:00.0/2005-04-17T00:00:00.0,9425.7012,5839.1196,3054.3928,2784.7266,4969.0127,1429.2512,196.673,1232.5781,558.1584,0.9823
2005-04-17T00:00:00.0/2005-04-18T00:00:00.0,9488.2461,6878.2891,5220.4561,1657.8329,8466.4717,5027.6992,2392.3848,2635.3145,3965.3467,0.9816
2005-04-18T00:00:00.0/2005-04-19T00:00:00.0,9550.1436,7070.27,5733.771,1336.499,9343.582,7070.27,5733.771,1336.499,9343.582,0.8035
2005-04-19T00:00:00.0/2005-04-20T00:00:00.0,9611.3242,6964.5688,5556.6748,1407.8944,9105.7227,2570.4834,633.8013,1936.6821,1113.5079,0.9795
2005-04-20T00:00:00.0/2005-04-21T00:00:00.0,9671.7461,7090.9111,5511.9331,1578.9778,8811.0684,5404.2729,3209.7341,2194.5391,4916.7261,0.9788
2005-04-21T00:00:00.0/2005-04-22T00:00:00.0,9731.5186,7088.2158,5536.6489,1551.5673,8897.8857,4528.2568,2687.2549,1841.0018,4536.895,0.967
